"","calc_reef_year","calc_reef_year.1","calc_reef_year.2","calc_reef_year.3","calc_reef_year.4"
"29",364.050728641787,346.164461141304,310.865731478779,272.963251048517,210.839798914949
"30",363.905031148794,345.033460958254,309.125078300994,271.086168993016,209.157144009354
"31",363.735159949953,343.815244337831,307.294952277928,269.131714873028,207.417389909094
"32",363.537055150598,342.504255685976,305.372979285981,267.099152924053,205.620779442311
"33",363.305991501431,341.094727582728,303.356839027461,264.987820273643,203.767602694857
"34",363.036479803617,339.580704780249,301.244285230542,262.797137095343,201.858200782855
"35",362.722157741499,337.956074606756,299.033167157673,260.52661706963,199.892969802483
"36",362.355670547195,336.214604377757,296.721452356075,258.175878139584,197.872364985473
"37",361.92854263202,334.349986349313,294.307250564112,255.744653553761,195.796905096119
"38",361.431042327117,332.355890647747,291.788838669011,253.232803196011,193.66717711443
"39",360.852043218403,330.226026473147,289.164686596235,250.64032521244,191.483841260772
"40",360.178887293525,327.954211698494,286.433484000275,247.967367959912,189.24763643041
"41",359.397257280088,325.534450773119,283.594167622711,245.214242319393,186.959386122299
"42",358.491068151256,322.961020592059,280.645949188324,242.381434442028,184.620004965962
"43",357.442390756363,320.228563719413,277.588343726429,239.469619027387,182.230505974352
"44",356.231423761129,317.33218806592,274.421198235515,236.479673273495,179.792008680322
"45",354.836533290543,314.267571835795,271.144720658267,233.412691689193,177.30574835146
"46",353.234382432887,311.031072297505,267.759509205472,230.270002023841,174.773086524695
"47",351.400174476781,307.619836725335,264.266582166406,227.053182651233,172.195523161248
"48",349.308033625997,304.031913735659,260.667408477031,223.764081848955,169.574710798349
"49",346.931544058152,300.266363241091,256.963939494426,220.404839548677,166.912471172386
"50",344.244461663463,296.323363408301,253.158642659042,216.977912307305,164.210814917115
"51",341.221601957335,292.204313377321,249.25453803295,213.486102478629,161.47196511216
"52",337.839892399731,287.911931133632,245.255239108397,209.932592872414,158.698385689068
"53",334.079558485468,283.450346882463,241.164999825954,206.320988606621,155.892816021402
"54",329.925392532343,278.82519364158,236.98877048678,202.655368441058,153.05831347348
"55",325.368035484622,274.043698669346,232.732266287509,198.940348711252,150.198306325778
"56",320.405189828827,269.11478198282,228.402053712332,195.181164197635,147.316660443049
"57",315.042681044581,264.049171952108,224.005662265034,191.383772103427,144.417764490867
"58",309.295300829504,258.859553436267,219.551732514831,187.554988195457,141.50664077066
"59",303.187401750498,253.560772411217,215.050217103833,183.702668873753,138.589092456907
"60",296.753273675352,248.170135079656,210.512661092717,179.835961046054,135.671904425942
"61",290.037423705029,242.707864555477,205.95260581217,175.965656547728,132.763126624879
"62",283.095022104831,237.197827357548,201.386195639183,172.104717333973,129.872492284384
"63",275.993027032962,231.668749445267,196.833144642445,168.269102553322,127.012074720299
"64",268.81306443064,226.15641395441,192.318416879118,164.479193392359,124.197417214474
"65",261.658842462918,220.70819163413,187.875594992208,160.762631409836,121.449783164785
"66",254.678797158863,215.39528227659,183.555823552908,157.161824208287,118.80211016705
"67",248.197632245925,210.380295470967,179.476760399626,153.774949624375,116.331571292802
"68",242.304384507558,205.707556830078,175.670941094038,150.628955459001,114.058657940769
"69",236.732741947063,201.241737365639,172.041164929442,147.642071320685,111.917357226112
"70",231.38849612034,196.93629645006,168.554496069117,144.786206180873,109.884146401116
"71",226.218925207739,192.766825631788,165.194004693611,142.04650603339,107.945845546284
"72",221.189522868625,188.719118722661,161.950057670834,139.414016195125,106.093768539828
"73",216.276351173154,184.785198238366,158.817341090078,136.883136968895,104.321684309988
"74",211.463097018506,180.961718780106,155.793585417673,134.450503486235,102.624911648343
"75",206.739456707682,177.248996246846,152.878708414439,132.114211413863,100.999696079098
"76",202.10060890561,173.65051899113,150.074274721523,129.873311740575,99.4428112386126
"77",197.547605648106,170.172857414231,147.383230896759,127.72754666881,97.9513573512575
"78",193.087407656563,166.825232122895,144.809342490046,125.676848707618,96.52239726947
"79",188.733464918142,163.619179479687,142.356700607699,123.720929667801,95.1526846571645
"80",184.5063782552,160.567987705363,140.029086753175,121.858795843343,93.8383628589882
"81",180.434967001862,157.686044903512,137.829374680785,120.088348228619,92.574748993659
"82",176.555716195194,154.986751532417,135.758010287755,118.405303280513,91.3556604509649
"83",172.913073385764,152.48076985033,133.812086485462,116.802677994522,90.1731711945445
"84",169.556447760049,150.172644772054,131.983554730221,115.269640974037,89.0169328274251
"85",166.532824072945,148.056631847099,130.257248671098,113.7902609521,87.8734340350965
"86",163.871876121077,146.111841976355,128.608620848888,112.342018884699,86.7250840016241
"87",161.563700789667,144.297460383365,127.00140544645,110.89418961747,85.5491745750923
"88",159.534813829248,142.54803349443,125.384827566361,109.405753103987,84.3164775059101
"89",157.632842596325,140.768994833265,123.690342215659,107.822826704187,82.9894784895082
"90",155.621552086292,138.831357614518,121.82739230781,106.075294939918,81.5200590568701
