"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"132",10.6891294919728,9.90728661662243,9.74394931558703,10.2728134791056,11.7744175150095,14.038411578194,16.9186496474052,19.2302823874468,19.3059580130655,17.1189554037292,14.6219790046984,12.4369104051851
"133",9.67844507409321,8.96228028375369,8.81669465182247,9.31868273871286,10.8638199960792,13.1837194882906,16.0147323084402,18.3208917575878,18.4128554522336,16.1521008564876,13.573693885908,11.4116127569597
"134",8.72077467344528,8.10898928686457,7.965248233969,8.46744498679804,9.94433760365775,12.1908598888752,14.9808143904043,17.3063600784124,17.4169796012169,15.1086568277936,12.5717343979104,10.4765261120574
"135",8.09971071850686,7.57387746565066,7.46573586180984,7.92156276814335,9.31536432958785,11.4306756740525,14.2231914230755,16.5192278850646,16.5952612786066,14.3129158190319,11.7745870635623,9.77838731663568
"136",7.87660621960055,7.43595741097674,7.35395373615408,7.94530175689495,9.4033479217327,11.3174056558898,13.7257214632901,16.054467048067,16.1655696522106,13.8763492266337,11.4945071653886,9.66400805892366
"137",7.34845519603954,6.87852087851476,6.80355941842563,7.43863556585792,8.71230030280572,10.7046940150084,13.0066548865518,15.1209961632152,15.2020348972744,13.1275365558671,10.7492363923862,8.89792168287583
"138",6.90702756446215,6.39610189728199,6.44833099229802,6.79642739108493,8.22841442664785,10.1422703958327,12.3253867364699,14.285618277519,14.332860226785,12.2019894599915,10.0253622931819,8.09998220474489
"139",6.14900529901592,5.67387169948937,5.6259949707179,5.84217103634055,6.88237370966243,8.73368306549228,11.2202261386274,13.2213649879507,13.201476668014,11.2246287858405,8.98136665707543,7.33073363681229
"140",5.96454816337649,5.51111973416698,5.42307642814736,5.64507554708557,6.61448383873159,8.45046919542593,10.8639948718198,12.7522211308246,12.6985752799294,10.7356269209535,8.60085401668415,7.05467314976495
"141",5.60062777942462,5.17024063557494,5.10075932827597,5.35576656584045,6.32075835796569,8.16869484434883,10.4900631424334,12.3053180708302,12.2625036171014,10.24698844745,8.11893671193569,6.61292856535037
"142",5.30947714912663,4.89181083453465,4.82023912861617,5.12732296015845,6.1016766907119,7.97196251509795,10.1845680635367,11.9339519009661,11.8476473502259,9.88646487513585,7.7816350688018,6.29167013405127
"143",4.9073120362431,4.53656044983454,4.45534907048213,4.78631913210603,5.80322261166027,7.72312019754002,9.89022658617442,11.6609540640853,11.5076320298755,9.57102889869049,7.45249561794842,5.90563266354663
"144",4.67598974531473,4.3480446763741,4.24609818869783,4.5323697662147,5.57495658475068,7.55083736684534,9.71002808120824,11.4453072510948,11.2290647122287,9.32598370175029,7.1735633391627,5.67658309974931
"145",4.23658591345714,3.9264223297147,3.8420211668976,4.13685771563247,5.27242167166223,7.39737047788,9.64427574098545,11.3168267194372,11.0447110538065,9.00202687987446,6.77732900840088,5.27310684503457
"146",3.9374947742087,3.65722245303276,3.56479834790712,3.80112511582979,4.98125503865415,7.14272619069439,9.5541846049975,11.1855993238214,10.8143424481562,8.65783126713478,6.44724535452176,4.95502279614647
"147",3.70876901221755,3.46991241915814,3.38318722380088,3.5288671721148,4.67488633746269,6.74900386357467,9.12091372737148,10.753149330216,10.3660898240621,8.25426842782321,6.10543671670376,4.67471556543004
