"","lat","1","2","3","4","5","6","7","8","9","10","11","12"
"56",-47.5,28.5997568444361,30.3352791025669,29.8452620928801,27.9500197881385,25.5808678397649,23.4631963802289,21.944981659515,21.0191584961324,20.629914175106,20.895124773436,22.3553828468806,25.2224909384039
"57",-50,27.2754781940315,29.0477517284924,28.3815518149847,26.3430980006351,23.9644732414922,21.8874799511101,20.3807561367373,19.4461885283265,19.052480057825,19.361275926421,20.8507233873198,23.7502819495865
"58",-52.5,26.1285195536428,27.9471330023431,27.1309522405847,24.9550202605012,22.5549077120694,20.5259452423492,19.071435383388,18.1854177821766,17.8329653182587,18.1486268353153,19.6011590338373,22.4993748355221
"59",-55,25.1499373674393,26.9993762016296,26.0736289262772,23.7417839288712,21.3076234102249,19.3012536048889,17.8550126671791,16.9578332304955,16.595435667038,16.93835760355,18.4593846321106,21.4563790082932
"60",-57.5,24.3378685542515,26.2041673206148,25.1912347248622,22.6782253129142,20.2061005546933,18.2579780646733,16.888231970015,16.0423525174459,15.685699735369,15.9855922744388,17.5010350091117,20.5802887734913
"61",-60,23.6957586951878,25.5784537895866,24.516723446224,21.8331285352292,19.3113250317781,17.4241108065066,16.1420844534169,15.3634514912315,15.0295657489611,15.2846522020257,16.7660302804864,19.8919888579327
"62",-62.5,23.2243877812436,25.1138020766409,23.9970808129562,21.0926270735891,18.4581502412495,16.5717318785818,15.3642486471879,14.684701568202,14.4141606682225,14.6210931577181,16.1364783638402,19.3814722763865
"63",-65,23.0057633646419,24.7834104045054,23.5086113147521,20.4035502444492,17.6571063566744,15.7264782123351,14.5323853974932,13.8981755610262,13.672344797113,13.8782796752587,15.5431474514222,19.0965439228529
"64",-67.5,22.5020401337568,24.260459282819,22.8817934709437,19.7303773094626,17.0480498987086,15.2191542737624,14.0879368361305,13.4586035784553,13.2068819859449,13.3781703079448,14.9912828697878,18.6340241993175
"65",-70,22.4156432151794,24.0664729050228,22.4547517299652,19.2461577483586,16.5991766623088,14.8314624173301,13.7168817520142,13.0683151994433,12.7744144882475,12.8519324404853,14.4630880015237,18.4146864754813
"66",-72.5,22.658647579617,24.2161799960666,22.2625372144911,18.8824593014187,16.2771730211046,14.5670766194661,13.4609475453695,12.7810366100735,12.4331865310669,12.4581986745199,14.1763838238186,18.49261847602
"67",-75,23.2031628535344,24.5953207015991,21.9046793717604,18.1037282943726,15.4382051687974,13.6978314839877,12.5448447007399,11.8144065416776,11.4550711558415,11.5331684992864,13.6112380394569,18.6966585012583
"68",-77.5,24.4189931233724,25.2397294362386,21.5365571339925,17.1402165730794,14.3731955210368,12.6061175028483,11.4201014200846,10.6597776095072,10.2541371663411,10.3884663263957,13.1938250223796,19.5726809183756
"69",-80,27.0507373809814,26.5674333572388,22.0483646392822,16.677131652832,13.2762160301208,11.1192002296448,9.81708574295044,8.97938919067383,8.44429111480713,8.88183498382568,13.2474246025085,21.9182071685791
"70",-82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",-87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
